Low income,4070712.1,3896389.34,3683264.92,3660862.28,3638459.64,3616057,3592534.2,3569829.2,3547535.88,3524516.1,3501893.7
Lower middle income,6882258.869,6728093.354,6473194.587,6444312.394,6415430.202,6386548.009,6371614.779,6338639.602,6312992.3,6287473.6,6262077.9
Middle East & North Africa,204711.169,208527,228626.4,228792,228957.6,229123.2,229110.6,229204.7,229360.3,229740.8,230051.3
Middle East & North Africa (excluding high income),191100.969,194047,213997.88,214141.32,214284.76,214428.2,214667.1,214761.6,214917.6,215298.9,215609.2
Middle East & North Africa (IDA & IBRD countries),191010.169,193956.2,213897.62,214040.68,214183.74,214326.8,214565.7,214660.2,214816.2,215197.5,215507.8
Middle income,19073868.87,26922210.35,26467469.53,26431925.79,26396382.06,26360838.32,26340957.3,26296528.68,26268730.26,26238774.1,26209703.2
North America,6507239.3,6513389.7,6565106.1,6567443.1,6569780.1,6572117.1,6571720.4,6568350.5,6567980.7,6567610.8,6567241
Not classified,..,..,..,..,..,..,..,..,..,..,..
OECD members,11356171.61,11507404.1,11585562.35,11597930.61,11610298.87,11622667.13,11631555.2,11629150.3,11630163.6,11631360.5,11632704
Other small states,614411.1,616253.34,600618.66,598568.44,596518.22,594468,592247.9,590206.8,587984.7,585765.2,583546.3
Pacific island small states,41141.6,42816.5,43486.78,43542.52,43598.26,43654,43709.9,43765.7,43821.6,43877.4,43933.2
Post-demographic dividend,9580543.179,9911702.031,10011769.14,10024250.34,10036731.54,10049212.74,10061358.06,10059915.98,10061410.6,10063077.2,10064890.9
Pre-demographic dividend,6173424.8,5903417.64,5530879.76,5495392.64,5459905.52,5424418.4,5387374.479,5351162,5315324.18,5278468.2,5242008.6
Small states,1025525.1,1026807.54,1010038.28,1007746.52,1005454.76,1003163,1000715.7,998487.8,996029.7,993573.7,991118.7
South Asia,777413.8,857850.281,879386.792,881788.828,884190.864,886592.9,888601.5,891070.5,893309.3,895548.1,897786.9
South Asia (IDA & IBRD),777413.8,857850.281,879386.792,881788.828,884190.864,886592.9,888601.5,891070.5,893309.3,895548.1,897786.9
